value,quality,type,time(msec)
0,40,0,110170
22,40,1,110170
0,40,0,110420
22,40,1,110420
0,40,0,110670
22,40,1,110670
2610,0,5,110670
31,0,2,110670
0,40,0,110920
22,40,1,110920
0,40,0,111170
22,40,1,111170
48,129,3,111232
100,129,4,111232
0,37,0,111420
22,37,1,111420
0,37,0,111670
22,37,1,111670
0,37,0,111920
22,37,1,111920
0,37,0,112170
22,37,1,112170
48,129,3,112212
100,129,4,112212
0,37,0,112420
22,37,1,112420
0,39,0,112670
22,39,1,112670
2610,0,5,112670
31,0,2,112670
0,39,0,112920
22,39,1,112920
48,1,3,113056
100,1,4,113056
0,39,0,113170
22,39,1,113170
0,39,0,113420
22,39,1,113420
0,39,0,113670
22,39,1,113670
0,33,0,113920
22,33,1,113920
0,33,0,114170
22,33,1,114170
48,129,3,114235
100,129,4,114235
0,33,0,114420
22,33,1,114420
0,33,0,114670
22,33,1,114670
2610,0,5,114670
31,0,2,114670
0,33,0,114920
22,33,1,114920
0,31,0,115170
22,31,1,115170
48,1,3,115217
100,1,4,115217
0,31,0,115420
22,31,1,115420
0,31,0,115670
22,31,1,115670
0,31,0,115920
22,31,1,115920
48,129,3,116055
100,129,4,116055
0,31,0,116170
22,31,1,116170
0,31,0,116420
22,31,1,116420
0,31,0,116670
22,31,1,116670
2610,0,5,116670
31,0,2,116670
0,31,0,116920
22,31,1,116920
0,31,0,117170
22,31,1,117170
48,5,3,117258
100,5,4,117258
0,32,0,117420
22,32,1,117420
0,32,0,117670
22,32,1,117670
0,32,0,117920
22,32,1,117920
0,32,0,118170
22,32,1,118170
48,5,3,118225
100,5,4,118225
0,32,0,118420
22,32,1,118420
0,31,0,118670
22,31,1,118670
2610,0,5,118670
31,0,2,118670
0,31,0,118920
22,31,1,118920
48,5,3,119010
100,5,4,119010
0,31,0,119170
22,31,1,119170
0,31,0,119420
22,31,1,119420
0,31,0,119670
22,31,1,119670
0,40,0,119920
22,40,1,119920
0,40,0,120170
22,40,1,120170
48,5,3,120253
100,5,4,120253
0,40,0,120420
22,40,1,120420
0,40,0,120670
22,40,1,120670
2610,0,5,120670
31,0,2,120670
0,40,0,120920
22,40,1,120920
0,39,0,121170
22,39,1,121170
48,1,3,121215
100,1,4,121215
0,39,0,121420
22,39,1,121420
0,39,0,121670
22,39,1,121670
0,39,0,121920
